wvl (um), n, k
1.260000000000000009e+00 3.508999999999999897e+00 3.609600000000000026e-09
1.270000000000000018e+00 3.508000000000000007e+00 2.021300000000000041e-09
1.280000000000000027e+00 3.505999999999999783e+00 1.222300000000000008e-09
1.290000000000000036e+00 3.504999999999999893e+00 7.288500000000000215e-10
1.300000000000000044e+00 3.503000000000000114e+00 4.655299999999999940e-10
1.310000000000000053e+00 3.501999999999999780e+00 2.814700000000000113e-10
1.320000000000000062e+00 3.500000000000000000e+00 1.680699999999999945e-10
1.330000000000000071e+00 3.499000000000000110e+00 8.467000000000000333e-11
1.340000000000000080e+00 3.496999999999999886e+00 3.732199999999999788e-11
1.350000000000000089e+00 3.495999999999999996e+00 1.826300000000000003e-11
1.360000000000000098e+00 3.495000000000000107e+00 1.028099999999999951e-11
1.370000000000000107e+00 3.494000000000000217e+00 6.541300000000000006e-12
1.379999999999999893e+00 3.491999999999999993e+00 4.173000000000000091e-12
1.389999999999999902e+00 3.491000000000000103e+00 2.544100000000000034e-12
1.399999999999999911e+00 3.490000000000000213e+00 1.559699999999999907e-12
1.409999999999999920e+00 3.488999999999999879e+00 9.537399999999999326e-13
1.419999999999999929e+00 3.487999999999999989e+00 5.650000000000000159e-13
1.429999999999999938e+00 3.487000000000000099e+00 2.844899999999999823e-13
1.439999999999999947e+00 3.486000000000000210e+00 2.062599999999999966e-13
1.449999999999999956e+00 3.484999999999999876e+00 1.384599999999999977e-13
